day,consumption,evaluation_set
2012-05-26,6.6990000000000025,False
2012-05-27,6.961499999999999,False
2012-05-28,6.743500000000001,False
2012-05-29,6.608999999999999,False
2012-05-30,6.5790000000000015,False
2012-05-31,6.565000000000001,False
2012-06-01,6.658,False
2012-06-02,6.9270000000000005,False
2012-06-03,7.39650005,False
2012-06-04,7.0920000000000005,False
2012-06-05,7.511,False
2012-06-06,6.8130000000000015,False
2012-06-07,7.0120000000000005,False
2012-06-08,6.939000000000001,False
2012-06-09,6.8435000000000015,False
2012-06-10,7.489000000000001,False
2012-06-11,7.515500000000001,False
2012-06-12,7.200000000000001,False
2012-06-13,5.5930000500000006,False
2012-06-14,6.621000000000001,False
2012-06-15,5.8385,False
2012-06-16,6.334499999999999,False
2012-06-17,7.1830000000000025,False
2012-06-18,6.862000000000003,False
2012-06-19,6.657,False
2012-06-20,6.5520000000000005,False
2012-06-21,6.8450000000000015,False
2012-06-22,6.825,False
2012-06-23,6.9345,False
2012-06-24,7.270000000000001,False
2012-06-25,6.829,False
2012-06-26,6.777999999999999,False
2012-06-27,6.775,False
2012-06-28,6.711500000000001,False
2012-06-29,6.697,False
2012-06-30,6.745,False
2012-07-01,7.110000000000001,False
2012-07-02,6.946999999999999,False
2012-07-03,6.8409999999999975,False
2012-07-04,6.736999999999997,False
2012-07-05,6.6165,False
2012-07-06,6.734,False
2012-07-07,6.91,False
2012-07-08,7.420000000000003,False
2012-07-09,6.9475,False
2012-07-10,6.7780000000000005,False
2012-07-11,6.716,False
2012-07-12,6.7170000000000005,False
2012-07-13,6.658000000000002,False
2012-07-14,7.003000000000003,False
2012-07-15,7.0520000000000005,False
2012-07-16,7.018,False
2012-07-17,6.6935,False
2012-07-18,6.726000000000001,False
2012-07-19,6.6605000000000025,False
2012-07-20,6.72,False
2012-07-21,6.635999999999999,False
2012-07-22,6.7250000000000005,False
2012-07-23,6.5829999999999975,False
2012-07-24,6.555,False
2012-07-25,6.5710000000000015,False
2012-07-26,6.609000000000001,False
2012-07-27,6.7705,False
2012-07-28,6.747000000000001,False
2012-07-29,7.138000000000001,False
2012-07-30,6.6395,False
2012-07-31,6.6960000000000015,False
2012-08-01,6.692000000000001,False
2012-08-02,6.606,False
2012-08-03,6.603999999999999,False
2012-08-04,6.7620000000000005,False
2012-08-05,7.0795,False
2012-08-06,6.734,False
2012-08-07,6.6919999999999975,False
2012-08-08,6.555999999999999,False
2012-08-09,6.526,False
2012-08-10,6.574500000000001,False
2012-08-11,6.6110000000000015,False
2012-08-12,7.001500000000003,False
2012-08-13,6.693000000000001,False
2012-08-14,6.434000000000001,False
2012-08-15,6.596000000000003,False
2012-08-16,6.488999999999999,False
2012-08-17,6.388000000000003,False
2012-08-18,6.561,False
2012-08-19,6.8610000000000015,False
2012-08-20,6.693499999999999,False
2012-08-21,6.559999999999999,False
2012-08-22,6.4270000000000005,False
2012-08-23,6.439,False
2012-08-24,6.52,False
2012-08-25,6.63,False
2012-08-26,6.456,False
2012-08-27,6.797999999999999,False
2012-08-28,6.5335,False
2012-08-29,6.8015,False
2012-08-30,6.7179999000000015,False
2012-08-31,6.4665,False
2012-09-01,6.6910000000000025,False
2012-09-02,7.289500000000001,False
2012-09-03,6.8169999999999975,False
2012-09-04,6.828000000000002,False
2012-09-05,6.634,False
2012-09-06,6.651500000000001,False
2012-09-07,6.6305,False
